State,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% female,% rural
State,Life Expectancy,# Deaths,# Deaths,# Deaths,% Frequent Physical Distress,% Adults with Diabetes,# HIV Cases,# Food Insecure,# Limited Access,# Drug Overdose Deaths,# Motor Vehicle Deaths,% Insufficient Sleep,# Uninsured,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance,Segregation index,Spending per-pupil,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,% household income required for childcare expenses,# childcare centers,Homicide Rate,# Deaths,# Firearm Fatalities,Juvenile Arrest Rate,Traffic Volume,# Homeowners,# Households with Severe Cost Burden,% Broadband Access,Population,% female,# rural residents
Alabama,74.8,88086.0,2912.0,3240.0,15,12,13875.0,788250,418731.0,2572.0,6902.0,40,425108.0,101.0,92.0,8.0,2.9,2.7,0.29,10102.0,0.74,53958.0,55.0,57.0,24.0,,11.0,4043.0,5451.0,,220,1306505,213588.0,80,4921532,51.7,1957932.0
Alaska,78.6,8663.0,472.0,429.0,10,7,724.0,86970,55887.0,402.0,529.0,33,66006.0,167.0,80.0,10.0,,,0.25,18545.0,0.83,79961.0,43.0,56.0,20.0,,8.0,991.0,866.0,30.0,259,165376,29087.0,87,731158,47.8,241338.0
Arizona,79.1,90822.0,3255.0,3213.0,12,10,17296.0,918940,554825.0,6127.0,6554.0,35,648267.0,109.0,78.0,8.0,,,0.25,8573.0,0.84,64652.0,51.0,49.0,23.0,,6.0,6810.0,5776.0,,479,1727176,346027.0,87,7421401,50.3,651358.0
Arkansas,75.5,50906.0,1883.0,1993.0,16,12,5939.0,499950,292058.0,1378.0,3956.0,37,223118.0,101.0,88.0,9.0,2.9,2.8,0.29,10179.0,0.81,51146.0,66.0,66.0,23.0,,9.0,2869.0,2980.0,,167,770477,118606.0,77,3030522,50.9,1278329.0
California,81.0,378883.0,12544.0,13801.0,11,9,132911.0,4011960,1204935.0,20454.0,27186.0,35,2657697.0,73.0,88.0,7.0,2.9,2.7,0.26,13582.0,0.87,83001.0,59.0,57.0,27.0,,5.0,21628.0,15801.0,7.0,1991,7241318,2487212.0,89,39368078,50.3,1880350.0
Colorado,80.0,58091.0,2243.0,2132.0,10,7,13025.0,566440,253692.0,3566.0,4258.0,30,386305.0,122.0,81.0,6.0,3.1,3.0,0.19,10957.0,0.83,77688.0,41.0,64.0,28.0,,4.0,6238.0,4248.0,14.0,554,1415324,291404.0,90,5807719,49.6,696435.0
Connecticut,80.1,38493.0,991.0,1154.0,10,8,10597.0,428800,152556.0,3654.0,1987.0,34,176870.0,145.0,89.0,5.0,3.2,3.0,0.22,20556.0,0.81,79723.0,43.0,62.0,23.0,,3.0,2018.0,955.0,,594,915408,218613.0,87,3557006,51.2,429155.0
Delaware,78.0,13471.0,416.0,519.0,12,11,3381.0,114190,56525.0,1280.0,856.0,37,51389.0,140.0,89.0,6.0,3.0,3.0,0.13,16302.0,0.85,71335.0,,45.0,24.0,,7.0,579.0,557.0,46.0,518,264915,47634.0,87,986809,51.7,149985.0
District of Columbia,78.0,8978.0,347.0,446.0,10,10,14041.0,70480,9664.0,989.0,272.0,36,21358.0,198.0,69.0,6.0,2.9,2.8,0.35,22406.0,0.88,91957.0,,69.0,24.0,277.0,20.0,223.0,640.0,24.0,3580,122648,46785.0,86,712816,52.6,0.0
Florida,79.7,282304.0,8582.0,9348.0,12,9,113478.0,2567300,1427412.0,17197.0,21476.0,37,2420214.0,134.0,87.0,7.0,3.2,3.3,0.23,9650.0,0.86,61724.0,54.0,56.0,27.0,,6.0,16507.0,14240.0,24.0,552,5250878,1297346.0,85,21733312,51.1,1661466.0
Georgia,77.3,143179.0,5682.0,6449.0,13,11,56446.0,1279310,971060.0,4728.0,10424.0,38,1213181.0,122.0,83.0,8.0,3.0,2.9,0.26,11181.0,0.81,62800.0,60.0,56.0,21.0,,8.0,7496.0,8466.0,,371,2453159,506601.0,84,10710017,51.4,2415502.0
Hawaii,82.3,14779.0,559.0,673.0,10,9,2387.0,162220,72883.0,729.0,748.0,43,45992.0,69.0,85.0,9.0,2.9,3.0,0.11,,0.84,86878.0,46.0,62.0,21.0,,3.0,984.0,276.0,,1174,282037,81247.0,87,1407006,49.9,109812.0
Idaho,79.2,19254.0,837.0,785.0,12,9,1234.0,179580,124160.0,802.0,1607.0,33,165741.0,122.0,81.0,7.0,3.1,3.0,0.14,7994.0,0.75,62603.0,37.0,81.0,20.0,,2.0,1944.0,1392.0,,262,459428,67600.0,86,1826913,49.9,461212.0
Illinois,78.6,155530.0,5590.0,6363.0,11,10,35841.0,1211410,619801.0,9061.0,7905.0,34,803964.0,99.0,,6.0,3.0,2.9,0.37,15786.0,0.79,71243.0,49.0,72.0,25.0,,8.0,7171.0,7527.0,8.0,630,3237778,661607.0,85,12587530,50.9,1477079.0
Indiana,76.5,97951.0,3652.0,4034.0,13,11,11638.0,834530,561172.0,5649.0,5834.0,38,460946.0,110.0,87.0,6.0,3.1,3.2,0.26,10347.0,0.76,60794.0,48.0,68.0,18.0,,7.0,5200.0,5107.0,19.0,385,1808293,269791.0,83,6754953,50.7,1786702.0
Iowa,78.7,38226.0,1337.0,1338.0,9,9,2888.0,297800,172835.0,1071.0,2454.0,33,126860.0,119.0,91.0,6.0,3.1,3.1,0.19,11339.0,0.78,62362.0,42.0,62.0,24.0,,3.0,2497.0,1508.0,37.0,260,906967,122961.0,83,3163561,50.2,1096099.0
Kansas,77.8,37334.0,1504.0,1598.0,11,10,3174.0,351090,240797.0,1238.0,2781.0,34,216421.0,133.0,87.0,6.0,3.1,3.0,0.21,11383.0,0.78,63214.0,47.0,58.0,22.0,,5.0,2675.0,2170.0,,292,756309,114103.0,84,2913805,50.2,736157.0
Kentucky,75.1,78388.0,2201.0,2406.0,16,12,7638.0,644540,277473.0,4778.0,5383.0,42,234983.0,161.0,92.0,8.0,3.1,3.0,0.21,11297.0,0.79,54074.0,56.0,62.0,28.0,,6.0,3879.0,3848.0,,303,1181021,187355.0,82,4477251,50.7,1806024.0
Louisiana,75.2,77733.0,3001.0,3267.0,14,11,21289.0,718360,483383.0,4303.0,5487.0,38,351177.0,113.0,81.0,10.0,,,0.27,11903.0,0.71,51730.0,57.0,57.0,28.0,,14.0,3460.0,5182.0,,330,1167628,229361.0,79,4645318,51.3,1215567.0
Maine,78.6,18799.0,430.0,514.0,13,9,1649.0,166910,47048.0,1212.0,1101.0,35,91897.0,165.0,87.0,6.0,3.1,3.0,0.17,14346.0,0.82,59145.0,42.0,75.0,28.0,,2.0,1278.0,770.0,12.0,169,414939,62441.0,84,1350141,51.0,814819.0
Maryland,78.6,75564.0,2599.0,3144.0,9,10,33378.0,640180,205286.0,7464.0,3753.0,38,304985.0,123.0,87.0,6.0,,,0.27,15148.0,0.86,88589.0,42.0,63.0,21.0,,9.0,3107.0,3716.0,27.0,734,1495828,302705.0,89,6055802,51.6,739221.0
Massachusetts,80.2,71659.0,1690.0,1970.0,10,7,21065.0,566930,257163.0,6753.0,2754.0,34,175976.0,149.0,88.0,5.0,3.4,3.2,0.26,17620.0,0.81,87288.0,,63.0,39.0,,2.0,3314.0,1277.0,,1434,1654892,401439.0,88,6893574,51.4,525640.0
Michigan,77.5,141031.0,4625.0,5052.0,13,10,16586.0,1299020,630370.0,7735.0,6916.0,40,495823.0,124.0,83.0,7.0,3.0,2.8,0.35,11256.0,0.78,61352.0,50.0,73.0,38.0,,6.0,7280.0,6352.0,24.0,655,2855485,471885.0,84,9966555,50.8,2513683.0
Minnesota,80.4,55372.0,2122.0,2304.0,9,8,8816.0,432170,302030.0,2478.0,2997.0,29,231346.0,137.0,84.0,4.0,3.1,3.3,0.25,12681.0,0.82,75489.0,36.0,64.0,22.0,,2.0,3848.0,2312.0,22.0,435,1588611,230302.0,87,5657342,50.2,1417614.0
Mississippi,73.9,56052.0,2176.0,2243.0,13,13,9832.0,550370,337505.0,1290.0,5110.0,38,330086.0,136.0,85.0,9.0,3.0,3.0,0.29,9277.0,0.75,47368.0,75.0,52.0,22.0,,13.0,2091.0,3428.0,,121,767972,131403.0,76,2966786,51.6,1503073.0
Missouri,76.6,92687.0,3126.0,3176.0,12,9,12803.0,809680,433370.0,5068.0,6396.0,35,504891.0,112.0,91.0,7.0,3.0,3.0,0.29,10804.0,0.79,58812.0,50.0,72.0,16.0,,10.0,5777.0,6440.0,28.0,368,1637374,264308.0,83,6151548,50.9,1770556.0
Montana,78.4,14174.0,463.0,445.0,13,6,669.0,111080,71741.0,430.0,1284.0,31,72612.0,142.0,86.0,8.0,3.1,3.0,0.27,11911.0,0.77,57730.0,40.0,84.0,31.0,,4.0,1432.0,1071.0,38.0,189,298728,51656.0,83,1080577,49.6,436401.0
Nebraska,79.0,21615.0,939.0,1008.0,10,9,2236.0,225580,103177.0,513.0,1686.0,32,127060.0,141.0,87.0,4.0,3.1,3.2,0.26,12298.0,0.78,64735.0,46.0,65.0,25.0,,3.0,1384.0,916.0,21.0,358,507291,76596.0,86,1937552,50.0,490655.0
Nevada,78.1,41546.0,1314.0,1374.0,13,10,10733.0,373370,166038.0,2167.0,2314.0,37,290808.0,92.0,85.0,10.0,2.9,2.8,0.15,9338.0,0.85,64608.0,65.0,48.0,30.0,,7.0,3178.0,2593.0,,580,644864,170995.0,86,3138259,49.9,156754.0
